Wallet Address,Credit Score,Total Deposited,Total Borrowed,Total Repaid,Liquidation Events,Repay Ratio,Deposit/Borrow Ratio,Active Days,Risk Category
0x00000000001accfa9cef68cf5371a23025b6d4b6,1000,"2,000,000,000.00",0.00,0.00,0,0.00,200000000000000000.00,0,Low Risk
0x000000000051d07a4fb3bd10121a343d85818da6,1000,"145,000,000,000,000,000,000.00",0.00,0.00,0,0.00,14500000000000000604986408960.00,0,Low Risk
0x000000000096026fb41fc39f9875d164bd82e2dc,1000,"5,000,000,000,000,000.00",0.00,0.00,0,0.00,499999999999999991611392.00,7,Low Risk
0x0000000000e189dd664b9ab08a33c4839953852c,799,0.00,0.00,0.00,0,0.00,0.00,129,Low Risk
0x0000000002032370b971dabd36d72f3e5a7bf1ee,999,"94,593,658,147,077,068,161,024.00","39,460,000,000,070,001,885,184.00","70,024,572,850.00",0,0.00,2.40,132,Low Risk
0x000000000a38444e0a6e37d3b630d7e855a7cb13,1000,"10,609,617,267,610,297,040,896.00","11,605,000,000.00","11,613,645,226.00",0,1.00,914228114399.85,39,Low Risk
0x000000003853fcedcd0355fec98ca3192833f00b,1000,"45,426,992,712,607,832.00",0.00,0.00,0,0.00,4542699271260783050227712.00,7,Low Risk
0x000000003ce0cf2c037493b1dc087204bd7f713e,999,"274,188,275,296,826,835,337,216.00","86,339,789,787,501,296,615,424.00","336,813,453,090,048,704,512.00",0,0.00,3.18,123,Low Risk
0x000000007858e6f2668e1e06111cfa24403a5466,1000,"92,647,493,827,749,712.00",0.00,0.00,0,0.00,9264749382774970514407424.00,0,Low Risk
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1000,"1,797,442.00",0.00,0.00,0,0.00,179744200000000.00,0,Low Risk
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,998,"800,548,050,618,525,272,768,512.00","597,948,050,618,525,216,145,408.00","599,179,535,406,213,139,267,584.00",0,1.00,1.34,30,Low Risk
0x00000029ff545c86524ade7caf132527707948c4,1000,"2,703,467,576,579,266,711,650,304.00","1,204,488,620,972,923,777,187,840.00","1,204,677,958,626,269,804,363,776.00",0,1.00,2.24,2,Low Risk
0x00000087c4cebffb95746d1935de7fbcab092f40,902,"20,002,005,385,893,191,352,320.00","21,000,000,001,237,225,308,160.00","1,179,898,840,967,199,326,208.00",0,0.06,0.95,100,Low Risk
0x000000e28faa823d5b53ff6c2922c28335840375,991,"2,330,089,260,931,602,706,333,696.00","2,527,773,525,784,642,048,753,664.00","1,774,243,309,724,899,743,891,456.00",0,0.70,0.92,137,Low Risk
0x000006eee6e39015cb523aebdd4d0b1855aba682,844,"38,762,879,274,412,096,356,352.00","23,100,000,000,001,750,073,344.00","23,100,038,412,828,126,740,480.00",3,1.00,1.68,41,Low Risk
0x00000a9c78912badb92d73b6ed26456e11def5eb,1000,"1,690,049.00",0.00,0.00,0,0.00,169004900000000.00,0,Low Risk
0x00001bc47f0973f794f79c16121cee879e272d6a,799,0.00,0.00,0.00,0,0.00,0.00,47,Low Risk
0x00002b503a75998c97508916a74fdb41934fa030,894,"875,384,669,808,016,621,568.00","588,795,000,001,783,031,398,400.00","426,742,869,309,801,965,289,472.00",0,0.72,0.00,125,Low Risk
0x0000897253cc85f7547317eb2080b36b3255687a,1000,"144,717,571,777,708,544.00",0.00,0.00,0,0.00,14471757177770855121289216.00,3,Low Risk
0x0000b252c943089fbba5554a1d196ef79bc77e4f,1000,"1,109,908.00",0.00,0.00,0,0.00,110990800000000.00,0,Low Risk
0x0000ce08fa224696a819877070bf378e8b131acf,794,"2,500,000,001,947,075,072.00","1,417,093,320,061,629,759,488.00",0.00,0,0.00,0.00,75,Low Risk
0x00010a708585ba4812a1c5976182626c75cb7a6b,996,"198,390,169,724,900,376,576.00","300,000,000,000,830,668,800.00","300,410,948,632,018,812,928.00",0,1.00,0.66,79,Low Risk
